City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tuktoyaktuk,69.4541,-133.0374,-43.0,66,20,1.03,CA,1675617571
84,ibra,22.6906,58.5334,23.65,40,10,1.24,OM,1675617752
85,muros,42.7762,-9.0603,15.93,62,0,2.08,ES,1675617752
86,talnakh,69.4865,88.3972,-17.11,96,100,1.58,RU,1675617753
87,tiksi,71.6872,128.8694,-34.0,100,100,1.43,RU,1675617535
88,yantal,56.8471,105.2542,-12.45,97,100,1.52,RU,1675617682
89,jamestown,42.097,-79.2353,7.77,52,0,11.32,US,1675617754
90,chapais,49.7834,-74.8492,-13.12,84,100,3.4,CA,1675617574
91,provideniya,64.3833,-173.3,-17.36,96,97,4.43,RU,1675617755
92,jieshou,33.2634,115.3611,8.67,59,100,1.17,CN,1675617755
93,belmonte,-15.8631,-38.8828,29.83,61,4,5.31,BR,1675617755
94,sambava,-14.2667,50.1667,25.26,89,100,3.74,MG,1675617756
95,igualada,41.581,1.6172,12.84,58,0,1.34,ES,1675617756
96,yarada,17.65,83.2667,21.18,100,2,1.03,IN,1675617704
97,chokurdakh,70.6333,147.9167,-39.07,100,98,1.61,RU,1675617509
98,santa rosa del sur,7.9644,-74.0544,31.21,39,72,1.63,CO,1675617757
99,tautira,-17.7333,-149.15,27.75,73,88,7.17,PF,1675617512
100,cabra,37.4725,-4.4421,14.99,40,0,1.31,ES,1675617645
101,east london,-33.0153,27.9116,25.52,83,0,4.63,ZA,1675617757
102,axim,4.8699,-2.2405,28.22,76,91,4.86,GH,1675617757
103,bengkulu,-3.8004,102.2655,23.82,90,99,2.8,ID,1675617758
104,vaini,-21.2,-175.2,26.37,76,60,3.44,TO,1675617758
105,silver city,32.7701,-108.2803,15.17,20,0,2.68,US,1675617496
106,dikson,73.5069,80.5464,-19.82,97,100,0.78,RU,1675617758
107,saint-augustin,51.226,-58.6502,-16.95,66,97,4.68,CA,1675617593
108,cabo san lucas,22.8909,-109.9124,26.45,48,0,3.6,MX,1675617759
109,praia,14.9215,-23.5087,25.3,47,20,9.26,CV,1675617759
110,olavarria,-36.8927,-60.3225,29.98,30,35,3.35,AR,1675617760
111,san jose de rio tinto,14.9333,-85.7,30.76,41,11,2.55,HN,1675617566
112,itoman,26.1247,127.6694,20.21,88,75,3.09,JP,1675617707
113,san jeronimo,-11.9472,-75.2829,15.06,55,94,1.63,PE,1675617760
114,loknya,56.83,30.1467,-10.31,98,100,1.5,RU,1675617761
115,gigmoto,13.7796,124.39,25.41,89,99,4.69,PH,1675617661
116,fukue,32.6881,128.8419,10.02,50,81,3.31,JP,1675617761
117,dudinka,69.4058,86.1778,-16.88,99,96,1.21,RU,1675617656
118,allanridge,-27.7543,26.6438,26.65,30,30,1.64,ZA,1675617762
119,saint anthony,45.0205,-93.218,-2.28,73,0,5.14,US,1675617762
120,buraydah,26.326,43.975,18.25,25,79,3.55,SA,1675617762
121,multan,30.1956,71.4753,15.94,67,1,0.0,PK,1675617762
122,nanortalik,60.1432,-45.2371,-4.27,57,99,6.05,GL,1675617763
123,tongliao,43.6125,122.2653,-10.52,73,9,1.28,CN,1675617763
124,pinheiro,-2.5214,-45.0825,28.55,75,93,2.5,BR,1675617763
125,pochutla,15.7432,-96.4661,30.9,39,0,2.82,MX,1675617764
126,hirara,24.8,125.2833,21.78,80,100,6.59,JP,1675617556
127,alekseyevskaya,50.2896,42.1845,-6.22,96,94,2.3,RU,1675617764
